x,y,R,G,B,date,time,filename,watershed,temperature,class,year,week,month,season_autumn,season_spring,season_winter,temp_F
1403,1265,190,179,219,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1407,1294,187,176,216,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1412,1290,191,183,222,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1417,1286,187,181,219,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1422,1282,185,179,217,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1427,1278,182,176,214,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1432,1274,180,174,212,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1437,1270,182,176,212,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1442,1266,185,179,215,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1364,1368,178,170,209,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1368,1349,181,175,213,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1371,1375,173,168,208,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1375,1356,174,168,204,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1378,1382,175,169,207,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1382,1363,170,163,204,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1340,1432,168,160,199,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1345,1453,160,149,191,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
1351,1446,156,150,188,2019-01-01,2024-09-11 11:59:47,Hbwtr_w6_20190101_115947.JPG,w6,35F,snow_o,2019,1,1,False,False,True,35
